results.transcript_id,results.character == characters.name,character.name,character.gender,character.alignment,character.ancestry,character.age,character.role,character.role_detail_label,character.role_detail,character.ideal,character.ideal_axis,character.flaw,results.transcript_id,results.character,results.attack_key,results.persona_llm,results.attacker_llm,results.attack_trait,results.test_score,results.always_test_score,results.never_test_score,duplicate_eval_count
9fbc7a65-d7d5-4af0-b593-c90145d5f01b,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,9fbc7a65-d7d5-4af0-b593-c90145d5f01b,Lazam Sunmeadow,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,3.0,1.0,2.0,5
20c96ace-c220-4f2a-8d48-de8120c24c3f,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,20c96ace-c220-4f2a-8d48-de8120c24c3f,Lazam Sunmeadow,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,3.8,1.8,2.0,5
d238ca5f-033c-4785-b701-c413d31bdd56,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,d238ca5f-033c-4785-b701-c413d31bdd56,Lazam Sunmeadow,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,2.8,0.8,2.0,5
59b955f9-b612-4201-9297-9366525b9ed2,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,59b955f9-b612-4201-9297-9366525b9ed2,Lazam Sunmeadow,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,2.2,0.2,2.0,5
4c03c1f8-3d17-4ceb-89db-e34e91a3f19f,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,4c03c1f8-3d17-4ceb-89db-e34e91a3f19f,Lazam Sunmeadow,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,3.0,1.0,2.0,5
07a42d56-7cd5-4626-bb82-5d404e3cd2e1,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,07a42d56-7cd5-4626-bb82-5d404e3cd2e1,Lazam Sunmeadow,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,4.0,2.0,2.0,5
841101dd-eeaf-4553-aa7f-7547d6fbd9b4,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,841101dd-eeaf-4553-aa7f-7547d6fbd9b4,Lazam Sunmeadow,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,2.4,0.4,2.0,5
3c3f2f1f-2319-4aa7-8a02-146dedda2ab1,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,3c3f2f1f-2319-4aa7-8a02-146dedda2ab1,Lazam Sunmeadow,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,2.8,0.8,2.0,5
f21c9b73-018a-4d19-b009-f095ba8c152e,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,f21c9b73-018a-4d19-b009-f095ba8c152e,Lazam Sunmeadow,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,4.0,2.0,2.0,5
e1856ebd-d046-476a-a954-45409d366185,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,e1856ebd-d046-476a-a954-45409d366185,Lazam Sunmeadow,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,2.0,0.0,2.0,5
d90a10f3-98fd-4ebf-bdf2-b93c0e85b593,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,d90a10f3-98fd-4ebf-bdf2-b93c0e85b593,Lazam Sunmeadow,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,1.0,0.0,1.0,5
eb9c565f-b207-428c-b608-b0b00438e63d,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,eb9c565f-b207-428c-b608-b0b00438e63d,Lazam Sunmeadow,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,1.6,0.2,1.4,5
6bdb5a4e-303c-423c-910d-65a9a0c2eb34,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,6bdb5a4e-303c-423c-910d-65a9a0c2eb34,Lazam Sunmeadow,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,3.8,1.8,2.0,5
af1c14c5-8c5d-446a-a1fd-5b954a36786d,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,af1c14c5-8c5d-446a-a1fd-5b954a36786d,Lazam Sunmeadow,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,2.6,1.0,1.6,5
7effe1cd-2bb8-428c-a7d8-29d88a646527,True,Lazam Sunmeadow,m,NE,halfling,young,soldier,rank,cavalry,Live and Let Live. Ideals aren't worth killing over.,Neutral,I made a terrible mistake in battle that cost many lives.,7effe1cd-2bb8-428c-a7d8-29d88a646527,Lazam Sunmeadow,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,4.0,2.0,2.0,5
caf78eef-4830-4f20-bb73-fd724a5c7f48,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,caf78eef-4830-4f20-bb73-fd724a5c7f48,Ralf Hewardson,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,4.0,2.0,2.0,5
6396d31a-2853-4b42-a5b7-8660c472ab65,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,6396d31a-2853-4b42-a5b7-8660c472ab65,Ralf Hewardson,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,4.0,2.0,2.0,5
c34185ff-ac2f-4ecc-b006-2f8d63be102c,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,c34185ff-ac2f-4ecc-b006-2f8d63be102c,Ralf Hewardson,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,4.0,2.0,2.0,5
fed938b1-9978-48eb-890e-0728810434b6,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,fed938b1-9978-48eb-890e-0728810434b6,Ralf Hewardson,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,2.4,0.4,2.0,5
5711180a-6092-4b8d-afff-8a912d2ade1f,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,5711180a-6092-4b8d-afff-8a912d2ade1f,Ralf Hewardson,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,4.0,2.0,2.0,5
fbf3a59c-dab8-4afc-a503-6e185088f8fd,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,fbf3a59c-dab8-4afc-a503-6e185088f8fd,Ralf Hewardson,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,3.0,1.0,2.0,5
5b7e20ad-7a40-46d0-bf94-e10dcda1ed03,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,5b7e20ad-7a40-46d0-bf94-e10dcda1ed03,Ralf Hewardson,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,2.0,0.0,2.0,5
e8f55382-d01d-435a-a4b3-54fe0843e260,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,e8f55382-d01d-435a-a4b3-54fe0843e260,Ralf Hewardson,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,4.0,2.0,2.0,5
b0299284-023e-46e2-b46f-aed714b8ee67,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,b0299284-023e-46e2-b46f-aed714b8ee67,Ralf Hewardson,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,3.0,1.0,2.0,5
0cb13dbd-616b-40cb-83df-6bfa342cf2da,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,0cb13dbd-616b-40cb-83df-6bfa342cf2da,Ralf Hewardson,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,2.0,0.0,2.0,5
c4c412ed-3830-4d56-a60f-023181a3f69b,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,c4c412ed-3830-4d56-a60f-023181a3f69b,Ralf Hewardson,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,4.0,2.0,2.0,5
1e29ca06-f3ea-47c4-a780-6f7fbb0cba4f,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,1e29ca06-f3ea-47c4-a780-6f7fbb0cba4f,Ralf Hewardson,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,3.4,1.4,2.0,5
1ae61061-fe91-4099-839d-8965a154fa2b,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,1ae61061-fe91-4099-839d-8965a154fa2b,Ralf Hewardson,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,2.0,0.0,2.0,5
270fd5b0-e2ed-4509-89e1-9189f7370168,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,270fd5b0-e2ed-4509-89e1-9189f7370168,Ralf Hewardson,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,4.0,2.0,2.0,5
f1a2b33e-121d-42f8-bf49-f7df8c34cf75,True,Ralf Hewardson,m,LN,human,adult,artisan,business,alchemist,Community. It is the duty of all civilized people to strengthen the bonds of community.,Lawful,I'm never satisfied with what I have—I always want more.,f1a2b33e-121d-42f8-bf49-f7df8c34cf75,Ralf Hewardson,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,3.0,1.0,2.0,5
34db9994-9970-4925-aa96-df61cbbaa924,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,34db9994-9970-4925-aa96-df61cbbaa924,Morgran Bigtoe,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,3.0,1.0,2.0,5
adb308f6-7f16-4033-a8a4-76ccaec7e279,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,adb308f6-7f16-4033-a8a4-76ccaec7e279,Morgran Bigtoe,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,4.0,2.0,2.0,5
b909a30e-ac2b-4832-b527-2abcfc315f0c,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,b909a30e-ac2b-4832-b527-2abcfc315f0c,Morgran Bigtoe,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role,2.2,0.2,2.0,5
aae8d0f2-0372-424a-ad8e-cd692ae9a35b,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,aae8d0f2-0372-424a-ad8e-cd692ae9a35b,Morgran Bigtoe,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,3.0,1.0,2.0,5
10ac1aa0-7de2-4f27-81e7-72bff0cd8d4b,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,10ac1aa0-7de2-4f27-81e7-72bff0cd8d4b,Morgran Bigtoe,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,4.0,2.0,2.0,5
5ffcffd5-9206-4203-8b44-203303862f67,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,5ffcffd5-9206-4203-8b44-203303862f67,Morgran Bigtoe,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,role_detail,3.8,1.8,2.0,5
42bd1243-391a-454d-a804-866f3a67aae6,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,42bd1243-391a-454d-a804-866f3a67aae6,Morgran Bigtoe,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,4.0,2.0,2.0,5
8ac56790-f516-46aa-9a29-b46cedbea3b3,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,8ac56790-f516-46aa-9a29-b46cedbea3b3,Morgran Bigtoe,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,4.0,2.0,2.0,5
ea9d1921-9c51-41cd-913d-f46ec5071b95,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,ea9d1921-9c51-41cd-913d-f46ec5071b95,Morgran Bigtoe,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,ideal,4.0,2.0,2.0,5
00c05826-4f8f-44de-b94e-623a24292bd5,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,00c05826-4f8f-44de-b94e-623a24292bd5,Morgran Bigtoe,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,3.4,1.6,1.8,5
67ab597b-bcb7-4d57-b101-8e97b824b528,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,67ab597b-bcb7-4d57-b101-8e97b824b528,Morgran Bigtoe,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,2.6,0.8,1.8,5
b4de4449-51b8-4df9-9906-354b8bfdb676,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,b4de4449-51b8-4df9-9906-354b8bfdb676,Morgran Bigtoe,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,alignment,2.8,0.8,2.0,5
83c901ea-7891-49d3-b2e9-f4c5b9597f3f,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,83c901ea-7891-49d3-b2e9-f4c5b9597f3f,Morgran Bigtoe,pap_falsePromises,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,4.0,2.0,2.0,5
424a52eb-aba5-42f0-86e9-14541863143d,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,424a52eb-aba5-42f0-86e9-14541863143d,Morgran Bigtoe,pap_framing,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,4.0,2.0,2.0,5
af7aa45b-713b-4ea0-9c4e-4b028b6e2186,True,Morgran Bigtoe,m,NG,dwarf,mature,criminal,specialty,smuggler,Redemption. There's a spark of good in everyone.,Good,I turn tail and run when things look bad.,af7aa45b-713b-4ea0-9c4e-4b028b6e2186,Morgran Bigtoe,pap_loyaltyAppeals,gpt-oss:120b-cloud,gpt-oss:120b-cloud,flaw,2.2,0.2,2.0,5
